*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=LED ARRAY V1_1
*Date=20:01:14
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;1–5Watt;luxeon;88.7557;-93.5256;-90;Top;U42
2;;;237.504;-135.564;0;Bottom;Via1677
3;;;211.505;-50.5639;0;Bottom;Via1339
4;;;91.5046;-158.564;0;Bottom;Via923
5;;;194.505;-48.5638;0;Bottom;Via2360
6;;;119.505;-103.564;0;Bottom;Hole65
7;;;110.505;-69.5637;0;Bottom;Via2608
8;;;278.504;-52.5638;0;Bottom;Via1197
9;;;213.505;-69.5637;0;Bottom;Via1294
10;;;66.5048;-8.56391;0;Bottom;Via751
11;;;213.505;-159.564;0;Bottom;Via1748
12;1–5Watt;luxeon;277.182;-72.3914;-90;Top;U65
13;;;89.5048;-11.5639;0;Bottom;Via1021
14;;;235.505;-93.5639;0;Bottom;Via1074
15;;;44.5047;-32.5641;0;Bottom;Via620
16;;;70.5047;-29.5638;0;Bottom;Via879
17;;;66.5048;-157.564;0;Bottom;Via777
18;;;235.505;-70.5636;0;Bottom;Via1555
19;;;6.50468;-157.564;0;Bottom;Via4
20;;;171.505;-115.564;0;Bottom;Via1951
21;;;106.505;-8.56391;0;Bottom;Via1952
22;;;2.50466;-10.5637;0;Bottom;Via186
23;;;48.5047;-11.5642;0;Bottom;Via656
24;;;65.5046;-137.564;0;Bottom;Via735
25;;;28.5044;-72.5637;0;Bottom;Via514
26;;;25.5047;-132.564;0;Bottom;Via386
27;;;175.505;-136.564;0;Bottom;Via2469
28;;;175.505;-10.5637;0;Bottom;Via2406
29;;;192.505;-33.5637;0;Bottom;Via2082
30;;;192.505;-117.564;0;Bottom;Via2028
31;;;28.5044;-49.5637;0;Bottom;Via408
32;;;131.505;-50.5639;0;Bottom;Via2227
33;;;274.503;-94.5638;0;Bottom;Via1676
34;;;133.505;-71.5638;0;Bottom;Via2340
35;;;65.5046;-28.5636;0;Bottom;Via811
36;;;237.504;-156.564;0;Bottom;Via1423
37;;;46.5048;-49.564;0;Bottom;Via575
38;;;132.504;-91.5638;0;Bottom;Via2517
39;;;193.505;-32.5638;0;Bottom;Via2053
40;;;150.505;-92.564;0;Bottom;Via2532
41;;;109.505;-158.564;0;Bottom;Via2143
42;;;172.505;-114.564;0;Bottom;Via2683
43;;;131.505;-12.5638;0;Bottom;Via2720
44;;;211.505;-29.5638;0;Bottom;Via1335
45;;;234.505;-90.5639;0;Bottom;Via1678
46;;;216.505;-30.5637;0;Bottom;Via1733
47;;;152.505;-155.564;0;Bottom;Via2353
48;;;24.5045;-30.5637;0;Bottom;Via489
49;;;99.5047;-124.564;0;Bottom;Hole71
50;;;256.505;-114.564;0;Bottom;Via1132
51;;;6.50468;-8.56391;0;Bottom;Via209
52;;;277.503;-51.5639;0;Bottom;Via1218
53;1–5Watt;luxeon;151.342;-93.3879;-90;Top;U36
54;;;133.505;-10.5637;0;Bottom;Via2242
55;;;130.505;-137.564;0;Bottom;Via2609
56;;;86.5047;-50.5639;0;Bottom;Via955
57;;;238.505;-155.564;0;Bottom;Via1473
58;;;277.503;-156.564;0;Bottom;Via1799
59;;;255.505;-159.564;0;Bottom;Via1200
60;;;25.5047;-12.5638;0;Bottom;Via410
61;;;48.5047;-133.564;0;Bottom;Via603
62;;;90.5047;-115.564;0;Bottom;Via897
63;1–5Watt;luxeon;277.103;-51.5487;-90;Top;U93
64;;;99.5047;-82.5638;0;Bottom;Hole69
65;;;277.503;-112.564;0;Bottom;Via1539
66;;;257.505;-113.564;0;Bottom;Via1587
67;;;174.504;-133.564;0;Bottom;Via1926
68;;;45.5049;-94.5641;0;Bottom;Via696
69;;;7.50468;-156.564;0;Bottom;Via13
70;;;111.505;-114.564;0;Bottom;Via2463
71;;;108.505;-8.56391;0;Bottom;Via2376
72;;;238.505;-31.5636;0;Bottom;Via1577
73;;;277.503;-95.564;0;Bottom;Via1269
74;;;257.505;-138.564;0;Bottom;Via1778
75;;;18.4988;-95.5734;0;Bottom;Via2753
76;;;276.504;-90.5639;0;Bottom;Via1634
77;;;131.505;-134.564;0;Bottom;Via2009
78;;;170.505;-112.564;0;Bottom;Via2286
79;;;64.5047;-52.5638;0;Bottom;Via826
80;;;28.5044;-7.56371;0;Bottom;Via535
81;;;110.505;-159.564;0;Bottom;Via2536
82;;;112.505;-155.564;0;Bottom;Via2108
83;;;107.505;-74.5638;0;Bottom;Via2671
84;1–5Watt;luxeon;5.25319;-156.396;-90;Top;U1
85;;;192.505;-111.564;0;Bottom;Via2537
86;;;259.505;-73.5639;0;Bottom;Via1310
87;;;236.504;-69.5637;0;Bottom;Via1722
88;;;23.5046;-134.564;0;Bottom;Via467
89;;;217.505;-50.5639;0;Bottom;Via1110
90;;;3.50469;-9.56382;0;Bottom;Via184
91;1–5Watt;luxeon;130.431;-51.6405;-90;Top;U35
92;;;175.505;-113.564;0;Bottom;Via2254
93;;;108.505;-27.5637;0;Bottom;Via2577
94;;;258.505;-133.564;0;Bottom;Via1370
95;;;89.5048;-28.5636;0;Bottom;Via968
96;;;279.504;-116.564;0;Bottom;Via1201
97;;;89.5048;-95.564;0;Bottom;Via1016
98;;;214.505;-91.5638;0;Bottom;Via1465
99;;;27.5045;-48.5638;0;Bottom;Via405
100;;;211.505;-31.5636;0;Bottom;Via1183
101;;;66.5048;-52.5638;0;Bottom;Via739
102;1–5Watt;luxeon;256.487;-114.488;-90;Top;U85
103;;;92.5048;-71.5638;0;Bottom;Via1002
104;;;91.5046;-28.5636;0;Bottom;Via898
105;;;211.505;-136.564;0;Bottom;Via1531
106;;;6.50468;-52.5638;0;Bottom;Via145
107;;;6.50468;-159.564;0;Bottom;Via23
108;;;257.505;-31.5639;0;Bottom;Via1791
109;;;279.504;-112.564;0;Bottom;Via1410
110;;;151.504;-91.5638;0;Bottom;Via1934
111;;;132.504;-70.5636;0;Bottom;Via2441
112;;;25.5047;-50.5639;0;Bottom;Via534
113;;;132.504;-93.5639;0;Bottom;Via2430
114;;;195.505;-95.564;0;Bottom;Via2100
115;;;133.505;-31.5636;0;Bottom;Via1985
116;;;259.505;-71.5641;0;Bottom;Via1663
117;;;151.504;-7.56371;0;Bottom;Via2324
118;;;196.505;-136.564;0;Bottom;Via2665
119;1–5Watt;luxeon;5.05005;-93.5485;-90;Top;U6
120;;;191.505;-28.5636;0;Bottom;Via2544
121;;;245.505;-82.5638;0;Bottom;Hole13
122;;;48.5047;-137.564;0;Bottom;Via623
123;;;192.505;-73.5636;0;Bottom;Via2161
124;;;46.5048;-72.564;0;Bottom;Via640
125;;;49.5049;-157.564;0;Bottom;Via692
126;;;111.505;-133.564;0;Bottom;Via2362
127;;;152.504;-115.564;0;Bottom;Via2718
128;1–5Watt;luxeon;67.7217;-156.258;-90;Top;U32
129;;;56.5047;-40.5638;0;Bottom;Hole86
130;;;91.5046;-32.5638;0;Bottom;Via969
131;;;279.504;-9.56382;0;Bottom;Via1815
132;;;5.50468;-91.5638;0;Bottom;Via68
133;;;216.505;-70.5636;0;Bottom;Via1611
134;;;129.505;-153.564;0;Bottom;Via2613
135;;;69.5045;-154.564;0;Bottom;Via765
136;;;88.5049;-73.5636;0;Bottom;Via894
137;;;89.5048;-137.564;0;Bottom;Via983
138;;;216.505;-91.5638;0;Bottom;Via1066
139;;;24.5045;-7.56371;0;Bottom;Via432
140;;;278.504;-132.564;0;Bottom;Via1508
141;;;215.505;-50.5639;0;Bottom;Via1309
142;;;65.5046;-158.564;0;Bottom;Via802
143;;;23.5046;-71.5638;0;Bottom;Via513
144;;;107.505;-95.564;0;Bottom;Via2189
145;;;276.504;-54.5639;0;Bottom;Via1368
146;;;150.505;-31.5636;0;Bottom;Via1922
147;;;195.505;-156.564;0;Bottom;Via2471
148;;;216.505;-135.564;0;Bottom;Via1436
149;;;5.50468;-112.564;0;Bottom;Via47
150;;;23.5046;-31.5636;0;Bottom;Via459
151;;;48.5047;-51.5641;0;Bottom;Via563
152;;;108.505;-54.5639;0;Bottom;Via2422
153;;;195.505;-72.5637;0;Bottom;Via2092
154;;;107.505;-28.5636;0;Bottom;Via2061
155;;;234.505;-159.564;0;Bottom;Via1270
156;;;110.505;-48.5638;0;Bottom;Via1999
157;;;129.505;-117.564;0;Bottom;Via2299
158;;;130.505;-135.564;0;Bottom;Via2643
159;;;130.505;-116.564;0;Bottom;Via2248
160;;;175.505;-115.564;0;Bottom;Via2336
161;;;171.505;-27.5637;0;Bottom;Via2513
162;;;182.505;-40.5638;0;Bottom;Hole38
163;;;171.505;-94.5638;0;Bottom;Via2157
164;;;106.505;-113.564;0;Bottom;Via2556
165;;;47.5047;-71.5641;0;Bottom;Via598
166;;;46.5048;-95.5643;0;Bottom;Via680
167;;;254.505;-49.564;0;Bottom;Via1728
168;1–5Watt;luxeon;88.9541;-30.5782;-90;Top;U34
169;;;87.5047;-91.5638;0;Bottom;Via944
170;;;211.505;-92.564;0;Bottom;Via1138
171;;;258.505;-156.564;0;Bottom;Via1789
172;;;276.504;-159.564;0;Bottom;Via1614
173;;;152.504;-75.5637;0;Bottom;Via1929
174;;;4.50469;-10.5637;0;Bottom;Via191
175;;;131.505;-6.5638;0;Bottom;Via2607
176;;;256.505;-112.564;0;Bottom;Via1242
177;;;65.5046;-154.564;0;Bottom;Via728
178;;;87.5047;-95.564;0;Bottom;Via1031
179;;;28.5044;-30.5637;0;Bottom;Via424
180;;;274.503;-136.564;0;Bottom;Via1305
181;;;46.5048;-112.564;0;Bottom;Via651
182;;;67.5047;-114.564;0;Bottom;Via836
183;;;90.5047;-153.564;0;Bottom;Via910
184;;;191.505;-156.564;0;Bottom;Via2405
185;;;151.504;-133.564;0;Bottom;Via2212
186;;;280.503;-71.5638;0;Bottom;Via1430
187;;;3.50469;-135.564;0;Bottom;Via36
188;;;56.5047;-82.5638;0;Bottom;Hole85
189;;;47.5047;-115.564;0;Bottom;Via561
190;;;150.505;-10.5637;0;Bottom;Via2075
191;;;276.504;-113.564;0;Bottom;Via1238
192;;;275.504;-156.564;0;Bottom;Via1261
193;;;174.504;-53.564;0;Bottom;Via2458
194;;;133.505;-113.564;0;Bottom;Via2232
195;;;173.505;-153.564;0;Bottom;Via1996
196;;;151.504;-93.5639;0;Bottom;Via2302
197;;;217.505;-10.5637;0;Bottom;Via1873
198;;;2.50466;-115.564;0;Bottom;Via65
199;;;174.504;-158.564;0;Bottom;Via2549
200;;;131.505;-75.5637;0;Bottom;Via2685
201;1–5Watt;luxeon;46.6992;-93.5025;-90;Top;U22
202;1;2512 [SMD];234.505;-169.764;-90;Top;R3
203;1–5Watt;luxeon;277.317;-9.59782;-90;Top;U92
204;;;106.505;-73.5636;0;Bottom;Via2507
205;;;213.505;-71.5638;0;Bottom;Via1724
206;;SO;161.14;-152.18;0;Top;LM75A
207;;;255.505;-92.5642;0;Bottom;Via1111
208;;;153.504;-95.564;0;Bottom;Via1914
209;;;6.50468;-31.5636;0;Bottom;Via199
210;;;25.5047;-138.564;0;Bottom;Via385
211;;;69.5045;-49.5637;0;Bottom;Via744
212;;;280.503;-113.564;0;Bottom;Via1234
213;1–5Watt;luxeon;172.742;-135.353;-90;Top;U100
214;;;89.5048;-72.5637;0;Bottom;Via976
215;;;278.504;-31.5636;0;Bottom;Via1487
216;;;14.4989;-95.5734;0;Bottom;Via2754
217;;;278.504;-92.564;0;Bottom;Via1615
218;;;47.5047;-138.564;0;Bottom;Via644
219;;;69.5045;-9.56382;0;Bottom;Via783
220;;;90.5047;-157.564;0;Bottom;Via900
221;;;191.505;-30.5637;0;Bottom;Via2398
222;;;256.505;-28.5639;0;Bottom;Via1104
223;;;191.505;-158.564;0;Bottom;Via2112
224;;;238.505;-92.564;0;Bottom;Via1427
225;;;67.5047;-154.564;0;Bottom;Via827
226;;;99.5047;-61.5639;0;Bottom;Hole72
227;;;5.50468;-154.564;0;Bottom;Via18
228;;;23.5046;-157.564;0;Bottom;Via504
229;;;131.505;-113.564;0;Bottom;Via2219
230;;;171.505;-111.564;0;Bottom;Via2571
231;;;131.505;-27.5637;0;Bottom;Via2446
232;;;211.505;-10.5637;0;Bottom;Via1445
233;;;133.505;-155.564;0;Bottom;Via1995
234;;;26.5046;-156.564;0;Bottom;Via537
235;;;169.505;-29.5638;0;Bottom;Via2042
236;;;277.503;-9.56382;0;Bottom;Via1211
237;;;25.5047;-8.56391;0;Bottom;Via415
238;;;276.504;-27.5637;0;Bottom;Via1847
239;;;6.50468;-71.5638;0;Bottom;Via137
240;;;43.5048;-73.5639;0;Bottom;Via664
241;;;169.505;-10.5637;0;Bottom;Via2674
242;1–5Watt;luxeon;25.8616;-114.465;-90;Top;U15
243;;;110.505;-10.5637;0;Bottom;Via2349
244;;;152.505;-159.564;0;Bottom;Via2524
245;;;170.505;-154.564;0;Bottom;Via2693
246;;;77.5046;-164.564;0;Bottom;Hole75
247;;;278.504;-94.5638;0;Bottom;Via1715
248;;;213.505;-54.5639;0;Bottom;Via1147
249;;;8.50468;-8.56391;0;Bottom;Via204
250;;;24.5045;-154.564;0;Bottom;Via392
251;;;47.5047;-113.564;0;Bottom;Via710
252;;;129.505;-48.5638;0;Bottom;Via2020
253;1–5Watt;luxeon;193.483;-114.419;-90;Top;U91
254;;;90.5047;-134.564;0;Bottom;Via950
255;;;91.5046;-95.564;0;Bottom;Via1037
256;;;236.504;-153.564;0;Bottom;Via1781
257;;;274.503;-8.56391;0;Bottom;Via1573
258;;;70.5047;-73.5636;0;Bottom;Via767
259;;;232.505;-92.564;0;Bottom;Via1094
260;;;171.505;-69.5637;0;Bottom;Via2131
261;;;215.505;-12.5638;0;Bottom;Via1387
262;;;257.505;-92.5642;0;Bottom;Via1330
263;;;277.503;-91.5638;0;Bottom;Via1524
264;;;69.5045;-114.564;0;Bottom;Via818
265;;;23.5046;-115.564;0;Bottom;Via469
266;;;169.505;-115.564;0;Bottom;Via2371
267;;;149.504;-116.564;0;Bottom;Via2202
268;;;192.505;-92.564;0;Bottom;Via2573
269;;;151.504;-137.564;0;Bottom;Via2275
270;;;108.505;-31.5636;0;Bottom;Via2652
271;;;233.504;-116.564;0;Bottom;Via1489
272;;;224.505;-19.5639;0;Bottom;Hole20
273;;;287.06;-156.317;0;Bottom;TXT1
274;;;45.5049;-52.564;0;Bottom;Via571
275;;;127.505;-52.5638;0;Bottom;Via2039
276;;;150.505;-29.5638;0;Bottom;Via2137
277;;;257.505;-33.564;0;Bottom;Via1199
278;;;26.5046;-49.5637;0;Bottom;Via407
279;;;44.5047;-28.5639;0;Bottom;Via643
280;;;190.505;-134.564;0;Bottom;Via2235
281;;;68.5046;-134.564;0;Bottom;Via782
282;;;152.504;-113.564;0;Bottom;Via2342
283;;;131.505;-94.5638;0;Bottom;Via2701
284;;;213.505;-33.5637;0;Bottom;Via1650
285;;;159.775;-31.7963;0;Bottom;Via2742
286;;;119.505;-40.5638;0;Bottom;Hole62
287;;;70.5047;-113.564;0;Bottom;Via852
288;;;87.5047;-116.564;0;Bottom;Via931
289;;;254.505;-156.564;0;Bottom;Via1840
290;;;169.505;-8.56391;0;Bottom;Via1905
291;;;2.50466;-8.56391;0;Bottom;Via174
292;;;194.505;-136.564;0;Bottom;Via2606
293;;;258.505;-30.564;0;Bottom;Via1711
294;;;88.5049;-94.5638;0;Bottom;Via1032
295;;;91.5046;-72.5637;0;Bottom;Via1018
296;;;23.5046;-29.5638;0;Bottom;Via397
297;;;236.504;-27.5637;0;Bottom;Via1271
298;;;170.505;-53.564;0;Bottom;Via1901
299;;;232.505;-134.564;0;Bottom;Via1471
300;;;215.505;-134.564;0;Bottom;Via1597
301;;;274.503;-52.5638;0;Bottom;Via1290
302;;;237.504;-72.5637;0;Bottom;Via1343
303;;;255.505;-50.5642;0;Bottom;Via1523
304;;;289.504;-150.564;0;Top;Pad4
305;;;108.505;-6.5638;0;Bottom;Via2488
306;;;67.5047;-28.5636;0;Bottom;Via800
307;;;110.505;-33.5637;0;Bottom;Via2428
308;;;24.5045;-72.5637;0;Bottom;Via494
309;;;237.504;-95.564;0;Bottom;Via1208
310;;;44.5047;-135.564;0;Bottom;Via708
311;;;149.504;-28.5636;0;Bottom;Via2660
312;1–5Watt;luxeon;130.722;-30.5322;-90;Top;U43
313;;;131.505;-153.564;0;Bottom;Via2196
314;;;203.505;-145.564;0;Bottom;Hole26
315;;;277.503;-72.5637;0;Bottom;Via1784
316;;;25.5047;-96.5639;0;Bottom;Via546
317;;;162.851;-10.8634;0;Bottom;TXT2
318;;;151.504;-70.5636;0;Bottom;Via2486
319;;;129.505;-50.5639;0;Bottom;Via1984
320;;;69.5045;-112.564;0;Bottom;Via761
321;;;192.505;-113.564;0;Bottom;Via2033
322;;;67.5047;-11.5639;0;Bottom;Via853
323;;;106.505;-92.564;0;Bottom;Via2255
324;;;90.5047;-54.5639;0;Bottom;Via922
325;;;191.505;-154.564;0;Bottom;Via2345
326;;;277.503;-158.564;0;Bottom;Via1075
327;;;290.505;-55.5639;0;Bottom;Via2738
328;;;4.50469;-117.564;0;Bottom;Via62
329;;;153.504;-74.5638;0;Bottom;Via1923
330;;;4.50469;-75.5637;0;Bottom;Via135
331;;;47.5047;-12.5641;0;Bottom;Via679
332;;;128.504;-116.564;0;Bottom;Via2604
333;;;174.504;-11.5639;0;Bottom;Via2726
334;;;132.504;-7.56371;0;Bottom;Via2390
335;;;91.5046;-11.5639;0;Bottom;Via992
336;;;214.505;-74.5638;0;Bottom;Via1158
337;;;25.5047;-136.564;0;Bottom;Via400
338;;;8.50468;-29.5638;0;Bottom;Via196
339;;;87.5047;-154.564;0;Bottom;Via896
340;;;149.504;-114.564;0;Bottom;Via2074
341;;;172.505;-32.5638;0;Bottom;Via2144
342;;;256.505;-93.5642;0;Bottom;Via1501
343;;;111.505;-158.564;0;Bottom;Via2478
344;;;256.505;-51.5641;0;Bottom;Via1484
345;;;14.5047;-61.5639;0;Bottom;Hole104
346;;;67.5047;-72.5637;0;Bottom;Via808
347;;;29.5046;-10.5637;0;Bottom;Via458
348;;;153.504;-135.564;0;Bottom;Via2134
349;;;274.503;-134.564;0;Bottom;Via1558
350;;;216.505;-53.564;0;Bottom;Via1359
351;;;45.5049;-92.5642;0;Bottom;Via704
352;;;258.505;-112.564;0;Bottom;Via1622
353;1–5Watt;luxeon;88.8754;-9.73554;-90;Top;U50
354;;;108.505;-136.564;0;Bottom;Via2190
355;;;256.505;-116.564;0;Bottom;Via1783
356;;;43.5048;-29.5641;0;Bottom;Via565
357;;;44.5047;-7.56399;0;Bottom;Via600
358;;;171.505;-6.5638;0;Bottom;Via2638
359;;;195.505;-112.564;0;Bottom;Via2439
360;;;170.505;-28.5636;0;Bottom;Via2497
361;;;203.505;-40.5638;0;Bottom;Hole30
362;;;149.504;-32.5638;0;Bottom;Via2025
363;;;109.505;-95.564;0;Bottom;Via2256
364;;;194.505;-159.564;0;Bottom;Via2321
365;;;66.5048;-115.564;0;Bottom;Via846
366;;;238.505;-113.564;0;Bottom;Via1068
367;;;275.504;-70.5636;0;Bottom;Via1145
368;;;159.479;-121.554;0;Bottom;Via2765
369;;;259.505;-115.564;0;Bottom;Via1872
370;;;173.505;-8.56391;0;Bottom;Via1899
371;;;44.5047;-30.564;0;Bottom;Via657
372;;;8.50468;-155.564;0;Bottom;Via16
373;;;6.50468;-73.5636;0;Bottom;Via157
374;;;192.505;-90.5639;0;Bottom;Via2691
375;1–5Watt;luxeon;172.553;-93.5025;-90;Top;U80
376;;;195.505;-133.564;0;Bottom;Via2426
377;;;88.5049;-8.56391;0;Bottom;Via919
378;;;218.076;-141.804;0;Bottom;Via2756
