*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=LED ARRAY V1_0
*Date=17:29:52
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;119.244;-84.3702;0;Bottom;Via2290
2;;;182.244;-144.37;0;Bottom;Via1954
3;;;160.244;-38.3705;0;Bottom;Via2126
4;;;140.244;-23.3704;0;Bottom;Via2241
5;;;101.244;-86.3702;0;Bottom;Via1010
6;;;77.2437;-107.37;0;Bottom;Via882
7;;;54.2439;-126.37;0;Bottom;Via637
8;;;247.244;-149.37;0;Bottom;Via1193
9;;;202.244;-22.3705;0;Bottom;Via2014
10;;;159.244;-64.3708;0;Bottom;Via2086
11;;;227.244;-144.37;0;Bottom;Via1456
12;;;243.244;-82.3703;0;Bottom;Via1076
13;;;266.244;-125.371;0;Bottom;Via1132
14;;;79.2435;-61.3705;0;Bottom;Via792
15;;;223.244;-123.37;0;Bottom;Via1821
16;;;264.244;-127.371;0;Bottom;Via1695
17;;;144.244;-103.371;0;Bottom;Via2308
18;;;285.244;-127.37;0;Bottom;Via1554
19;;;142.244;-166.37;0;Bottom;Via2413
20;;;226.244;-65.3704;0;Bottom;Via1766
21;220;2010 [SMD];77.2437;-5.5704;-90;Bottom;R11
22;;;138.244;-105.37;0;Bottom;Via2592
23;;;206.244;-62.3704;0;Bottom;Via2651
24;;;36.2438;-21.3701;0;Bottom;Via448
25;;;40.2437;-124.37;0;Bottom;Via516
26;;;99.2438;-40.3702;0;Bottom;Via966
27;;;35.2436;-146.37;0;Bottom;Via540
28;;;123.244;-168.371;0;Bottom;Via2445
29;;;205.244;-105.37;0;Bottom;Via2546
30;;;160.244;-143.371;0;Bottom;Via2710
31;;;54.2439;-19.3707;0;Bottom;Via699
32;;;248.243;-165.37;0;Bottom;Via1846
33;;;162.244;-59.3707;0;Bottom;Via2282
34;;;56.244;-101.371;0;Bottom;Via652
35;;;160.244;-63.3706;0;Bottom;Via2060
36;;;121.244;-101.37;0;Bottom;Via2121
37;;;17.2437;-61.3704;0;Bottom;Via167
38;;;289.244;-22.3704;0;Bottom;Via1131
39;;;183.244;-17.3704;0;Bottom;Via2231
40;;;76.2435;-167.37;0;Bottom;Via785
41;;;77.2437;-82.3704;0;Bottom;Via859
42;;;56.244;-65.3706;0;Bottom;Via549
43;;;117.244;-82.3704;0;Bottom;Via1976
44;;;160.244;-107.371;0;Bottom;Via2038
45;;;246.244;-144.37;0;Bottom;Via1177
46;;;245.244;-63.3703;0;Bottom;Via1375
47;;;269.244;-124.371;0;Bottom;Via1060
48;;;97.2437;-84.37;0;Bottom;Via1000
49;;;77.2437;-164.37;0;Bottom;Via723
50;;;162.244;-105.371;0;Bottom;Via1920
51;;;265.244;-65.3707;0;Bottom;Via1788
52;;;159.244;-169.371;0;Bottom;Via1941
53;;;285.244;-60.3703;0;Bottom;Via1229
54;;;227.244;-60.3703;0;Bottom;Via1629
55;;;284.244;-147.37;0;Bottom;Via1305
56;;;244.244;-144.37;0;Bottom;Via1538
57;;;34.2437;-82.3702;0;Bottom;Via513
58;;;246.244;-85.3703;0;Bottom;Via1570
59;;;119.244;-170.371;0;Bottom;Via2310
60;;;223.244;-60.3703;0;Bottom;Via1652
61;1–5Watt;luxeon;204.111;-104.217;-90;Bottom;U77
